name,name_kana,lat,lng,region,series,categories,description,key
ガールズバンドクライ(ヒルバレー ラ チッタデッラ店),,35.5278506,139.697875,神奈川県,ガールズバンドクライ,公式選定,ヒルバレー ラ チッタデッラ店(神奈川県)。『ガールズバンドクライ』第13話に登場するポップコーン店。座標は店舗ではなく入居先のラ チッタデッラのもの。(出典: ja.wikipedia「ガールズバンドクライ」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,ガールズバンドクライ(ヒルバレー ラ チッタデッラ店)
ガールズバンドクライ(ラゾーナ川崎プラザ),,35.5333333,139.6958333,神奈川県,ガールズバンドクライ,公式選定,ラゾーナ川崎プラザ(神奈川県)。『ガールズバンドクライ』第3話でライブが行われるルーファ広場と、第4話で登場人物が訪れる島村楽器ラゾーナ川崎店がある商業施設。(出典: ja.wikipedia「ガールズバンドクライ」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,ガールズバンドクライ(ラゾーナ川崎プラザ)
ガールズバンドクライ(丸福珈琲店 川崎アゼリア店),,35.531404,139.696893,神奈川県,ガールズバンドクライ,公式選定,丸福珈琲店 川崎アゼリア店(神奈川県)。『ガールズバンドクライ』第1話・第6話に登場する喫茶店。座標は店舗ではなく入居先の川崎アゼリア(川崎駅東口の地下街)のもの。(出典: ja.wikipedia「ガールズバンドクライ」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,ガールズバンドクライ(丸福珈琲店 川崎アゼリア店)
ガールズバンドクライ(川崎セルビアンナイト),,35.5280386,139.6998673,神奈川県,ガールズバンドクライ,公式選定,川崎セルビアンナイト(神奈川県)。『ガールズバンドクライ』第5話でライブが行われる場所として登場するライブハウス。(出典: ja.wikipedia「ガールズバンドクライ」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,ガールズバンドクライ(川崎セルビアンナイト)
ガールズバンドクライ(川崎駅東口駅前広場),,35.5301805,139.6980004,神奈川県,ガールズバンドクライ,公式選定,川崎駅東口駅前広場(神奈川県)。『ガールズバンドクライ』第1話で路上ライブが行われる場所として登場する。(出典: ja.wikipedia「ガールズバンドクライ」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,ガールズバンドクライ(川崎駅東口駅前広場)
キン肉マン,,35.561206,139.715843,東京都,キン肉マン,Wikipedia由来|エリア,大田区(東京都)。『キン肉マン』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。同じ地点が『おぼっちゃまくん』・『それでも町は廻っている』・『ぱにぽに』の舞台としても記録されている。(出典: ja.wikipedia「キン肉マン」)(出典: ja.wikipedia のカテゴリ),キン肉マン
コイ☆セント,,34.6845445,135.8048359,奈良県,コイ☆セント,Wikipedia由来|エリア,奈良市(奈良県)。『コイ☆セント』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「コイ☆セント」)(出典: ja.wikipedia のカテゴリ),コイ☆セント
サマーウォーズ,,36.4021192,138.2490506,長野県,サマーウォーズ,公式選定|エリア,上田市(長野県)。『サマーウォーズ』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「サマーウォーズ」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,サマーウォーズ
スローループ,,35.2814779,139.6719597,神奈川県,スローループ,公式選定|エリア,横須賀市(神奈川県)。『スローループ』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「スローループ」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,スローループ
デジモンアドベンチャー,,35.7357808,139.6521325,東京都,デジモンアドベンチャー,公式選定|エリア,練馬区(東京都)。『デジモンアドベンチャー』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「デジモンアドベンチャー」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,デジモンアドベンチャー
デュラララ!!,,35.725913,139.7166365,東京都,デュラララ!!,公式選定|エリア,豊島区(東京都)。『デュラララ!!』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: アニメツーリズム協会)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,デュラララ!!
ハイキュー!!,,38.2677554,140.8691498,宮城県,ハイキュー!!,Wikipedia由来|エリア,仙台市(宮城県)。『ハイキュー!!』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。同じ地点が『ダイヤモンドは砕けない』・『BLUE GIANT』・『カルラ舞う!』・『かんなぎ』の舞台としても記録されている。(出典: ja.wikipedia「ハイキュー!!」)(出典: ja.wikipedia のカテゴリ),ハイキュー!!
ハイスクール・フリート,,35.2814779,139.6719597,神奈川県,ハイスクール・フリート,公式選定|エリア,横須賀市(神奈川県)。『ハイスクール・フリート』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「ハイスクール・フリート」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,ハイスクール・フリート
ハチミツとクローバー,,35.6994929,139.6362876,東京都,ハチミツとクローバー,Wikipedia由来|エリア,杉並区(東京都)。『ハチミツとクローバー』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。同じ地点が『ひらやすみ』・『チンプイ』・『アクセル・ワールド』・『マカロニほうれん荘』・『それが声優!』・『NEW GAME!』・『多数欠』・『宇宙パトロールルル子』・『独身アパートどくだみ荘』・『アクエリオンロゴス』・『ぼくらのよあけ』の舞台としても記録されている。(出典: ja.wikipedia「ハチミツとクローバー」)(出典: ja.wikipedia のカテゴリ),ハチミツとクローバー
ビブリア古書堂の事件手帖,,35.3192808,139.5469627,神奈川県,ビブリア古書堂の事件手帖,Wikipedia由来|エリア,鎌倉市(神奈川県)。『ビブリア古書堂の事件手帖』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。同じ地点が『炎の闘球児 ドッジ弾平』・『エルフェンリート』・『エリアの騎士』・『侵略!イカ娘』・『Just Because!』・『かくしごと』・『ハナヤマタ』・『セイクリッドセブン』・『吸血姫美夕』・『Cosmic Baton Girl コメットさん☆』・『ねらわれた学園』・『覆面系ノイズ』・『姉、ちゃんとしようよっ!』・『うた∽かた』・『南鎌倉高校女子自転車部』、ほか4作品の舞台としても記録されている。(出典: ja.wikipedia「ビブリア古書堂の事件手帖」)(出典: ja.wikipedia のカテゴリ),ビブリア古書堂の事件手帖
ブルバスター,,33.995409,130.8161509,福岡県,ブルバスター,公式選定,藍島(福岡県)。『ブルバスター』の制作陣が取材した場所。(出典: ja.wikipedia「ブルバスター」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,ブルバスター
