name,name_kana,prefecture,municipality,lat,lng,rank,category,description,official_url
石山寺,,滋賀県,,34.9604102,135.9054905,A,寺院,石山寺（いしやまでら）は、滋賀県大津市石山寺にある東寺真言宗の大本山の寺院。山号は石光山。,
三千院,,京都府,,35.1195241,135.8350497,A,寺院,三千院（さんぜんいん）は、京都市左京区大原来迎院町にある天台宗の寺院。山号は魚山（ぎょざん）。,
真清田神社,,愛知県,,35.3075018,136.8019814,A,神社,,
明月院,,神奈川県,鎌倉市,35.3349178,139.5516872,A,寺院,明月院（めいげついん）は、神奈川県鎌倉市山ノ内にある臨済宗建長寺派の寺院。正式には福源山明月院（ふくげんざめいげついん）と号する。,
鵜戸神宮,,宮崎県,日南市,31.6492649,131.466212,A,神社,,
熊野大社,,島根県,,35.3732128,133.0705728,A,神社,熊野大社（くまのたいしゃ）は、島根県松江市八雲町熊野にある神社。式内社（名神大社）、出雲国一宮。,
川崎大師,,神奈川県,川崎市,35.5340918,139.7294498,A,寺院,平間寺（へいけんじ）は、神奈川県川崎市川崎区にある、真言宗智山派の大本山。1128年（大治3年）建立。,
高台寺,,京都府,,35.0003229,135.781354,A,寺院,,
宇都宮二荒山神社,,栃木県,,36.5624338,139.8853744,A,神社,宇都宮二荒山神社（うつのみやふたあらやまじんじゃ、-ふたらやまじんじゃ）は、栃木県宇都宮市にある神社。式内社（名神大社）論社、下野国一宮。,
槇尾山施福寺（槇尾寺）,,大阪府,,34.3929129,135.5116081,A,寺院,施福寺（せふくじ）は、大阪府和泉市槙尾山町にある天台宗の寺院。山号は槇尾山。,
白峯神宮,,京都府,,35.0302768,135.753149,A,神社,白峯神宮（しらみねじんぐう）は、京都市上京区東飛鳥井町にある神社。配流されてその地で歿した崇徳天皇・淳仁天皇を祀る。,
櫛田神社,,福岡県,,33.5930723,130.4106976,A,神社,櫛田神社（くしだじんじゃ）は福岡県福岡市博多区上川端町にある神社。旧社格は県社。,
総本山 聖護院門跡,,京都府,,35.01908,135.7806399,A,寺院,,
愛宕神社,,京都府,京都市,35.0599954,135.6344724,A,神社,愛宕神社（あたごじんじゃ）は、京都市右京区嵯峨愛宕町にある神社。旧称は阿多古神社。,
長谷寺,,神奈川県,鎌倉市,35.3123395,139.5332494,A,寺院,,
生田神社,,兵庫県,,34.6947669,135.1904861,A,神社,生田神社（いくたじんじゃ）は、兵庫県神戸市中央区にある神社。式内社（名神大社）で、旧社格は官幣中社。,
丹生都比売神社,,和歌山県,かつらぎ町,34.2630761,135.5214845,A,神社,丹生都比売神社（にうつひめじんじゃ、にぶつひめじんじゃ、丹生都比賣神社）は、和歌山県伊都郡かつらぎ町上天野にある神社。式内社（名神大社）、紀伊国一宮。,
吉田神社,,京都府,,35.0243784,135.7845746,A,神社,吉田神社（よしだじんじゃ）は、京都市左京区吉田神楽岡町にある神社。吉田山に位置する。,
柴又帝釈天,,東京都,葛飾区,35.7584204,139.8787384,A,寺院,柴又帝釈天（しばまたたいしゃくてん）または、帝釈天 題経寺（たいしゃくてん だいきょうじ）は、東京都葛飾区柴又七丁目にある日蓮宗の寺院。,
廣田神社,,兵庫県,,34.7529338,135.3400056,A,神社,廣田神社（ひろたじんじゃ、広田神社）は、兵庫県西宮市大社町にある神社。式内社（名神大社）、二十二社（下八社）の一社。,
豪徳寺,,東京都,世田谷区,35.648682,139.6473095,A,寺院,,
大安寺,,奈良県,,34.6679364,135.8127455,A,寺院,大安寺（だいあんじ）は、奈良県奈良市大安寺二丁目にある高野山真言宗の寺院。山号はなし。,
本圀寺,,京都府,,34.9992115,135.8073267,A,寺院,本圀寺（ほんこくじ）は、京都市山科区御陵大岩にある日蓮宗の大本山（霊跡寺院）の寺院。山号は大光山。,
覚王山日泰寺,,愛知県,,35.1715764,136.9550206,A,寺院,,
