name,name_kana,lat,lng,region,rank,series,categories,description,key
一之宮貫前神社,いちのみやぬきさきじんじゃ,36.2549596,138.8578506,群馬県,A,神社,,一之宮貫前神社（いちのみやぬきさきじんじゃ）は、群馬県富岡市一ノ宮にある神社。式内社（名神大社）、上野国一宮。旧社格は国幣中社で、現在は神社本庁の別表神社。(出典: ja.wikipedia「一之宮貫前神社」 https://ja.wikipedia.org/wiki/一之宮貫前神社),一之宮貫前神社
榛名神社,はるなじんじゃ,36.4584395,138.8524464,群馬県,A,神社,,榛名神社（はるなじんじゃ）は、群馬県高崎市榛名山町にある神社。式内社、上野国六宮で、旧社格は県社。(出典: ja.wikipedia「榛名神社」 https://ja.wikipedia.org/wiki/榛名神社),榛名神社
鎌原観音堂,かんばらかんのんどう,36.5161836,138.5484,群馬県,A,寺院,,鎌原観音堂（かんばらかんのんどう）は、群馬県吾妻郡嬬恋村鎌原（もとの鎌原村）にある観音菩薩を祀る礼堂である。(出典: ja.wikipedia「鎌原観音堂」 https://ja.wikipedia.org/wiki/鎌原観音堂),鎌原観音堂
三峯神社,みつみねじんじゃ,35.9257246,138.929866,埼玉県,A,神社,,"三峯神社（みつみねじんじゃ）は、埼玉県秩父市三峰にある神社。旧社格は県社で、現在は神社本庁の別表神社。 秩父神社・宝登山神社とともに秩父三社の一社。拝殿の手前には珍しい三ツ鳥居がある。狼を守護神とし上杉千郷、戎光祥出版株式会社, 2008、狛犬の代わりに神社各所に狼の像が鎮座している。(出典: ja.wikipedia「三峯神社」 https://ja.wikipedia.org/wiki/三峯神社)",三峯神社
喜多院,きたいん,35.9178006,139.488985,埼玉県,A,寺院,,喜多院（きたいん）は、埼玉県川越市にある天台宗の寺院。山号は星野山（せいやさん）。本尊は阿弥陀如来。慈恵堂には良源（慈恵大師、元三大師とも）を祀り川越大師の別名で知られる。小江戸川越七福神第3番札所であり大黒天を祀る。関東三大師の一つとされる。(出典: ja.wikipedia「喜多院」 https://ja.wikipedia.org/wiki/喜多院),喜多院
妻沼聖天山,,36.2281887,139.3746748,埼玉県,A,神社,,歓喜院（かんぎいん）は、埼玉県熊谷市妻沼（めぬま）にある高野山真言宗の仏教寺院である。日本三大聖天の一つとされる。一般的には山号に地名を冠した「妻沼聖天山（めぬましょうでんざん）」と呼称され、公式でも主にその名で案内される。 また、「埼玉日光」（国宝に指定される前は「埼玉の小日光」 ）とも称されている。参拝客や地元住民からは「（妻沼の）聖天様」などと呼ばれている。(出典: ja.wikipedia「妻沼聖天山」 https://ja.wikipedia.org/wiki/妻沼聖天山),妻沼聖天山
氷川女体神社,ひかわにょたいじんじゃ,35.8869208,139.6937649,埼玉県,A,神社,,氷川女体神社（ひかわにょたいじんじゃ）は、埼玉県さいたま市緑区にある神社。登記上の宗教法人名称は旧字体の氷川女體神社である。武蔵国一宮を称する。全国一の宮会加盟社。旧社格は郷社。(出典: ja.wikipedia「氷川女体神社」 https://ja.wikipedia.org/wiki/氷川女体神社),氷川女体神社
氷川神社,ひかわじんじゃ,35.9166734,139.629768,埼玉県,A,神社,,氷川神社（ひかわじんじゃ）は、埼玉県さいたま市大宮区高鼻町一丁目にある神社。式内社（名神大社）、武蔵国一宮を称する（ないし三宮）勅祭社。旧社格は官幣大社で、現在は神社本庁の別表神社。宮中の四方拝で遥拝される神社の1つ。 東京都・埼玉県近辺に約280社ある氷川神社の総本社である。他の氷川神社と区別する際は「大宮氷川神社」とも呼ばれる。(出典: ja.wikipedia「氷川神社」 https://ja.wikipedia.org/wiki/氷川神社),氷川神社
秩父神社,ちちぶじんじゃ,35.9976288,139.0842502,埼玉県,A,神社,,秩父神社（ちちぶじんじゃ）は、埼玉県秩父市番場町にある神社。式内社、武蔵国四宮。旧社格は国幣小社で、現在は神社本庁の別表神社。知知夫国の一之宮。 秩父地方の総鎮守である。三峯神社・宝登山神社とともに秩父三社の一社。12月の例祭「秩父夜祭」で知られ、秩父夜祭（秩父祭の屋台行事と神楽）は「山・鉾・屋台行事」（18府県の計33件）の1つとしてユネスコ無形文化遺産に登録されている。(出典: ja.wikipedia「秩父神社」 https://ja.wikipedia.org/wiki/秩父神社),秩父神社
調神社,つきじんじゃ,35.8534177,139.6556849,埼玉県,A,神社,,調神社（つきじんじゃ）は、埼玉県さいたま市浦和区岸町三丁目にある神社。式内社で、旧社格は県社。 別称は「調宮（つきのみや）」。社名の「ツキ」により月待信仰が古くからあり、狛犬ではなく兎の像がある神社として知られる。(出典: ja.wikipedia「調神社」 https://ja.wikipedia.org/wiki/調神社),調神社
