name,name_kana,region,lat,lng,rank,category,description
北仙台駅前郵便局,,宮城県,38.281302,140.869624,郵便局,郵便局,昭和町3-42
陸前白沢簡易郵便局,,宮城県,38.279657,140.702234,郵便局,簡易郵便局,上愛子大道34-9
仙台上杉四郵便局,,宮城県,38.273891,140.879557,郵便局,郵便局,上杉4-5-24
仙台上杉六郵便局,,宮城県,38.275818,140.875367,郵便局,郵便局,上杉6-2-15
東北大学病院内郵便局,,宮城県,38.271858,140.861292,郵便局,郵便局,星陵町1-1
折立団地簡易郵便局,,宮城県,38.261888,140.804492,郵便局,簡易郵便局,折立4-14-2
仙台川内郵便局,,宮城県,38.261303,140.850738,郵便局,郵便局,川内元支倉35
仙台川平郵便局,,宮城県,38.304912,140.836567,郵便局,郵便局,川平3-38-30
仙台北郵便局,,宮城県,38.290646,140.873051,郵便局,郵便局,台原3-17-10
仙台台原郵便局,,宮城県,38.2840419623,140.874838768,郵便局,郵便局,台原4-3-21
大倉簡易郵便局,,宮城県,38.333791,140.699914,郵便局,簡易郵便局,大倉神明前6-6
仙台大町郵便局,,宮城県,38.260111,140.865005,郵便局,郵便局,大町2-8-26
仙台駅内郵便局,,宮城県,38.25987,140.881754,郵便局,郵便局,中央1-1-1
仙台中央三郵便局,,宮城県,38.259397,140.876453,郵便局,郵便局,中央3-4-25
仙台中江郵便局,,宮城県,38.273551,140.889922,郵便局,郵便局,中江2-1-2
仙台中山郵便局,,宮城県,38.294029,140.838603,郵便局,郵便局,中山6-6-3
仙台東勝山郵便局,,宮城県,38.298853,140.867251,郵便局,郵便局,東勝山3-12-26
仙台柏木郵便局,,宮城県,38.274496,140.86571,郵便局,郵便局,柏木1-4-33
仙台八幡町郵便局,,宮城県,38.270247,140.849999,郵便局,郵便局,八幡4-1-3
仙台米ケ袋郵便局,,宮城県,38.2517,140.870592,郵便局,郵便局,米ケ袋1-4-39
仙台中央郵便局,,宮城県,38.254638,140.877402,郵便局,郵便局,北目町1-7
仙台花京院通郵便局,,宮城県,38.266496,140.878392,郵便局,郵便局,本町1-11-1
仙台広瀬通郵便局,,宮城県,38.263079,140.874,郵便局,郵便局,本町2-3-10
仙台合同庁舎内郵便局,,宮城県,38.267706,140.873682,郵便局,郵便局,本町3-3-1
宮城県庁内郵便局,,宮城県,38.269065,140.872455,郵便局,郵便局,本町3-8-1
仙台北山郵便局,,宮城県,38.279635,140.859625,郵便局,郵便局,木町14-13
仙台木町通郵便局,,宮城県,38.26937,140.865195,郵便局,郵便局,木町通1-6-32
仙台立町郵便局,,宮城県,38.264359,140.864903,郵便局,郵便局,立町24-20
仙台栄郵便局,,宮城県,38.282006,140.98373,郵便局,郵便局,栄4-14-27
仙台岡田郵便局,,宮城県,38.255753,140.981003,郵便局,郵便局,岡田寺袋浦8-7
仙台蒲生郵便局（一時閉鎖）,,宮城県,38.256032,141.006557,郵便局,郵便局,蒲生町5-2
今市簡易郵便局,,宮城県,38.295165,140.936831,郵便局,簡易郵便局,岩切1-9-16
仙台岩切郵便局,,宮城県,38.304635,140.948781,郵便局,郵便局,岩切若宮前39-1
仙台国立病院前郵便局,,宮城県,38.261021,140.905935,郵便局,郵便局,宮城野2-8-8
仙台宮城野郵便局,,宮城県,38.252941,140.910799,郵便局,郵便局,宮千代1-2-8
仙台原町郵便局,,宮城県,38.264403,140.900695,郵便局,郵便局,原町1-3-25
仙台東郵便局,,宮城県,38.269968,140.911148,郵便局,郵便局,原町6-2-32
仙台第三合同庁舎内郵便局,,宮城県,38.262177,140.897172,郵便局,郵便局,五輪1-3-15
仙台幸町郵便局,,宮城県,38.275639,140.899246,郵便局,郵便局,幸町3-2-2
仙台自由ケ丘郵便局,,宮城県,38.290469,140.903786,郵便局,郵便局,自由ケ丘3-28
仙台小田原郵便局,,宮城県,38.265331,140.890902,郵便局,郵便局,小田原1-7-16
仙台新田郵便局,,宮城県,38.273527,140.921286,郵便局,郵便局,新田1-9-50
仙台榴ケ岡郵便局,,宮城県,38.256861,140.896567,郵便局,郵便局,西宮城野11-3
仙台鶴ケ谷郵便局,,宮城県,38.290071,140.917448,郵便局,郵便局,鶴ケ谷8-19-1
仙台田子郵便局,,宮城県,38.281696,140.960438,郵便局,郵便局,田子2-30-8
仙台燕沢郵便局,,宮城県,38.279423,140.91983,郵便局,郵便局,東仙台1-1-3
東仙台四郵便局,,宮城県,38.27386,140.912344,郵便局,郵便局,東仙台4-3-6
仙台二十人町郵便局,,宮城県,38.2627665917,140.892089202,郵便局,郵便局,二十人町37
仙台福室郵便局,,宮城県,38.28215,140.969835,郵便局,郵便局,福室5-4-12
仙台福田町郵便局,,宮城県,38.270544,140.960592,郵便局,郵便局,福田町2-4-25
仙台苦竹郵便局,,宮城県,38.27067,140.916012,郵便局,郵便局,平成1-3-22
メルパルク仙台郵便局,,宮城県,38.257006,140.89184,郵便局,郵便局,榴岡5-6-8
仙台沖野郵便局,,宮城県,38.226566,140.912948,郵便局,郵便局,沖野3-13-18
卸町郵便局,,宮城県,38.256438,140.921042,郵便局,郵便局,卸町2-15-2
仙台河原町郵便局,,宮城県,38.240006,140.891277,郵便局,郵便局,河原町1-2-18
仙台五橋郵便局,,宮城県,38.25416,140.881842,郵便局,郵便局,五橋3-2-1
仙台荒井郵便局,,宮城県,38.243808,140.936564,郵便局,郵便局,荒井堀口4-1
仙台荒町郵便局,,宮城県,38.248806,140.884624,郵便局,郵便局,荒町155-1
仙台荒浜郵便局（一時閉鎖）,,宮城県,38.220205,140.981858,郵便局,郵便局,荒浜南丁1
仙台穀町郵便局,,宮城県,38.245473,140.888513,郵便局,郵便局,穀町26
仙台今泉郵便局,,宮城県,38.215366,140.930412,郵便局,郵便局,今泉1-15-3
仙台若林一郵便局,,宮城県,38.233422,140.89531,郵便局,郵便局,若林1-13-1
仙台上飯田郵便局,,宮城県,38.22047,140.916025,郵便局,郵便局,上飯田1-15-7
仙台新寺郵便局,,宮城県,38.257136,140.886626,郵便局,郵便局,新寺2-2-11
仙台大和町郵便局,,宮城県,38.247863,140.92,郵便局,郵便局,大和町3-4-1
仙台遠見塚郵便局,,宮城県,38.243193,140.912265,郵便局,郵便局,中倉1-24-22
仙台東部工場団地簡易郵便局,,宮城県,38.257418,140.953506,郵便局,簡易郵便局,鶴代町6-3
仙台南小泉郵便局,,宮城県,38.240384,140.903774,郵便局,郵便局,南小泉4-2-4
若林郵便局,,宮城県,38.240475,140.925454,郵便局,郵便局,南小泉梅木43
仙台保春院前丁郵便局,,宮城県,38.24558,140.89921,郵便局,郵便局,保春院前丁11
