name,name_kana,lat,lng,region,series,categories,description,key
奥武簡易郵便局,,26.131458,127.771333,沖縄県,郵便局,簡易,玉城奥武1-3,奥武簡易郵便局
親慶原簡易郵便局,,26.154956,127.781581,沖縄県,郵便局,簡易,玉城仲村渠1255,親慶原簡易郵便局
百名簡易郵便局,,26.142069,127.792803,沖縄県,郵便局,簡易,玉城百名535,百名簡易郵便局
玉城郵便局,,26.144762,127.764028,沖縄県,郵便局,普通,玉城當山151-3,玉城郵便局
佐敷郵便局,,26.167761,127.789163,沖縄県,郵便局,普通,佐敷佐敷344,佐敷郵便局
津波古簡易郵便局,,26.182343,127.774692,沖縄県,郵便局,簡易,佐敷津波古396,津波古簡易郵便局
大里郵便局,,26.174926,127.747167,沖縄県,郵便局,普通,大里仲間1133-5,大里郵便局
久高島簡易郵便局,,26.158318,127.885575,沖縄県,郵便局,簡易,知念久高4,久高島簡易郵便局
知念郵便局,,26.169179,127.825883,沖縄県,郵便局,普通,知念久手堅337,知念郵便局
安田簡易郵便局,,26.74511,128.315101,沖縄県,郵便局,簡易,安田62,安田簡易郵便局
奥郵便局,,26.836963,128.286795,沖縄県,郵便局,普通,奥49,奥郵便局
国頭郵便局,,26.744052,128.176946,沖縄県,郵便局,普通,辺土名1420-1,国頭郵便局
大宜味郵便局,,26.702153,128.117839,沖縄県,郵便局,普通,大宜味175,大宜味郵便局
東郵便局,,26.631081,128.154231,沖縄県,郵便局,普通,平良550-12,東郵便局
今帰仁郵便局,,26.682885,127.971963,沖縄県,郵便局,普通,仲宗根96-5,今帰仁郵便局
上本部郵便局,,26.684382,127.898136,沖縄県,郵便局,普通,謝花320,上本部郵便局
本部郵便局,,26.659356,127.895442,沖縄県,郵便局,普通,渡久地93,本部郵便局
恩納郵便局,,26.498454,127.854285,沖縄県,郵便局,普通,恩納2583-1,恩納郵便局
仲泊郵便局,,26.439375,127.803096,沖縄県,郵便局,普通,仲泊107,仲泊郵便局
宜野座郵便局,,26.480959,127.976191,沖縄県,郵便局,普通,宜野座1185-2,宜野座郵便局
金武郵便局,,26.454904,127.926003,沖縄県,郵便局,普通,金武57-2,金武郵便局
伊江郵便局,,26.709044,127.806059,沖縄県,郵便局,普通,川平196-2,伊江郵便局
伊良皆郵便局,,26.382351,127.749713,沖縄県,郵便局,普通,伊良皆373-6,伊良皆郵便局
喜名郵便局,,26.399238,127.757768,沖縄県,郵便局,普通,喜名478,喜名郵便局
読谷郵便局,,26.407793,127.732853,沖縄県,郵便局,普通,高志保1297-2,読谷郵便局
嘉手納郵便局,,26.36427,127.754602,沖縄県,郵便局,普通,嘉手納312,嘉手納郵便局
北谷郵便局,,26.315219,127.768269,沖縄県,郵便局,普通,吉原1139-1,北谷郵便局
北谷宮城郵便局,,26.328828,127.746382,沖縄県,郵便局,普通,宮城1-127,北谷宮城郵便局
北谷桑江郵便局,,26.322163,127.771491,沖縄県,郵便局,普通,桑江618-3,北谷桑江郵便局
ハンビー郵便局,,26.302553,127.75941,沖縄県,郵便局,普通,北谷2-13-10,ハンビー郵便局
北中城郵便局,,26.300527,127.79474,沖縄県,郵便局,普通,喜舎場386-2,北中城郵便局
和仁屋簡易郵便局,,26.297833,127.808739,沖縄県,郵便局,簡易,和仁屋228-1,和仁屋簡易郵便局
中城郵便局,,26.267696,127.790492,沖縄県,郵便局,普通,当間140-10,中城郵便局
西原坂田郵便局,,26.238373,127.747836,沖縄県,郵便局,普通,翁長523-1,西原坂田郵便局
西原我謝郵便局,,26.214061,127.760219,沖縄県,郵便局,普通,我謝707-2,西原我謝郵便局
西原郵便局,,26.226005,127.764968,沖縄県,郵便局,普通,小橋川98,西原郵便局
琉球大学病院内簡易郵便局,,26.241531,127.759718,沖縄県,郵便局,簡易,上原207,琉球大学病院内簡易郵便局
与那原郵便局,,26.200118,127.762414,沖縄県,郵便局,普通,与那原3823,与那原郵便局
宮平郵便局,,26.199757,127.737805,沖縄県,郵便局,普通,宮平258-3,宮平郵便局
南風原中郵便局,,26.192474,127.728462,沖縄県,郵便局,普通,兼城684-9,南風原中郵便局
南風原郵便局,,26.1903142159,127.730337102,沖縄県,郵便局,普通,兼城723,南風原郵便局
津嘉山郵便局,,26.188758,127.709642,沖縄県,郵便局,普通,津嘉山1462-2,津嘉山郵便局
渡嘉敷郵便局,,26.196913,127.364527,沖縄県,郵便局,普通,渡嘉敷209-3,渡嘉敷郵便局
阿嘉郵便局,,26.190217,127.281756,沖縄県,郵便局,普通,阿嘉68,阿嘉郵便局
座間味郵便局,,26.230491,127.302392,沖縄県,郵便局,普通,座間味371-1,座間味郵便局
粟国郵便局,,26.582233,127.22847,沖縄県,郵便局,普通,東369-1,粟国郵便局
渡名喜郵便局,,26.370671,127.141482,沖縄県,郵便局,普通,1977,渡名喜郵便局
南大東郵便局,,25.829313,131.231587,沖縄県,郵便局,普通,在所183-10,南大東郵便局
北大東郵便局,,25.954447,131.289375,沖縄県,郵便局,普通,港51-7,北大東郵便局
